#,Assignee,Closed,Faturado,Subject,Project,Due date,Estimated time,Tracker,Status
8432,"","",No,Home leiloar.online,Quero Leiloar,11/12/2020,1.50,Melhoria,Planejado
8431,Cesar Vieira,"",Yes,Fatura Correios + Conciliação_Elo7 - IMPORTAR,Controle Postal,11/12/2020,0.50,Tarefa,Planejado
8430,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'duelu@outlook.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `password`, `c",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8428,"","",Yes,Fatura correios + Conciliação - Total Express (IMPORTAR),Controle Postal,11/12/2020,0.50,Tarefa,Planejado
8427,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'janiceortiz@hotmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwor",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8426,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'janiceortiz@hotmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwor",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8425,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'janiceortiz@hotmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwor",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8424,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'nilzagdsantos@gmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwor",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8423,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'claudiaogata@globo.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `password",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8422,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'claudiaogata@globo.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `password",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8421,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'Raquelolivieri@gmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwo",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8420,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'helmafirmino15@gmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwo",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8419,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'helmafirmino15@gmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwo",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8418,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'helmafirmino15@gmail.com' for key 'app__users.app__users_email_unique' (SQL: insert into `app__users` (`name`, `email`, `passwo",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8417,"","",No,FOLLOW UP NÃO CARREGA,ERP Efiltros,11/12/2020,0.50,Correção,Planejado
8416,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'queroleiloar.app__sms_validation' doesn't exist (SQL: select * from `app__sms_validation` where `app__sms_validation`.`user_id` = 8fcae4e0-,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8415,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'queroleiloar.app__sms_validation' doesn't exist (SQL: select * from `app__sms_validation` where `app__sms_validation`.`user_id` = b637ce50-,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8414,"","","",[laravel-staging] E_NOTICE: Trying to get property 'script' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8413,"","","","[laravel-staging] Symfony\Component\HttpFoundation\Exception\SuspiciousOperationException: Invalid Host ""*.beta.queroleiloar.com"".",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8412,"","","",[laravel-production] Illuminate\Auth\Access\AuthorizationException: This action is unauthorized.,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8409,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '240.00-47b6c6df-2da6-11eb-9d0d-a2da84708872' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8408,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '450.00-28efd820-2a76-11eb-98c5-ad2d39a8ef14' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8407,"","",No,Verificar problema com imagens em lotes copiados.,Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8406,"","",No,Adicionar cadastro de leiloeiro (somente administradores podem cadastrar),Quero Leiloar,11/12/2020,1.00,Melhoria,Planejado
8405,"","",Yes,Suporte Mensal Quero Leiloar - December/2020,Quero Leiloar,31/12/2020,18.75,Contrato,Andamento
8404,Cesar Vieira,"",Yes,Processamento mensal WebMotors Dezembro/2020,ALD SISVeículos,11/12/2020,3.50,Tarefa,Planejado
8403,"","",No,Plaufic: Suporte Mensal December/2020,Suporte,31/12/2020,8.00,Contrato,Andamento
8402,"","",Yes,Suporte Mensal acasadoartista.com.br - Dezembro/2020,Visitex,31/12/2020,5.25,Contrato,Andamento
8401,"","","",[laravel-staging] ErrorException: Trying to get property 'url' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8399,"","","","[vue-production] SecurityError: Blocked a frame with origin ""https://www.casavidalleiloes.com.br"" from accessing a cross-origin frame.",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8397,Cesar Vieira,08/12/2020 03:36 PM,"",[laravel-production] ErrorException: Undefined offset: 0,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
8395,Cesar Vieira,08/12/2020 03:49 PM,"",[laravel-production] ErrorException: Trying to get property 'dias' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
8394,"","","",[laravel-production] Error: Class 'Artesaos\SEOTools\Facades\SEOMeta' not found,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8393,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'b2d6b490-2db4-11eb-bf45-51388d12326f' for key 'leilao__arremates.peca_id' (SQL: insert into `leilao__arremates` (`lance_id`, `p",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8392,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'ff61cca0-29c9-11eb-85cf-6f6857dcbd33' for key 'leilao__arremates.peca_id' (SQL: insert into `leilao__arremates` (`lance_id`, `p",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8387,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '51.00-1f5d6e70-1a2d-11eb-8c41-099a5df32ffc' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`,",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8386,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '82.00-03a6f170-1a2d-11eb-97b6-1b238d2da59e' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`,",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8377,"","","","[vue-production] SecurityError: Blocked a frame with origin ""https://leiloar.online"" from accessing a cross-origin frame.",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8368,Cesar Vieira,08/12/2020 03:44 PM,"",[laravel-production] E_NOTICE: Undefined variable: tenant,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
8367,"","","","[laravel-production] Symfony\Component\HttpFoundation\Exception\SuspiciousOperationException: Invalid Host ""*.queroleiloar.com"".",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8366,"","","",[vue-production] TypeError: Cannot read property 'toString' of null,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8364,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '240.00-aea0aee0-2047-11eb-993b-53f5d6bbec16' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8361,"","",No,Criar string para utilizar dados bancários da ficha do leilão,Quero Leiloar,11/12/2020,0.50,Melhoria,Planejado
8360,"","","","[laravel-staging] Illuminate\Database\QueryException: SQLSTATE[42S01]: Base table or view already exists: 1050 Table 'app__roles' already exists (SQL: create table `app__roles` (`id` char(36) not null, `name` varchar(191) not null, `guard_name` varchar(19",ERP Efiltros,11/12/2020,0.50,Bug,Planejado
8354,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'f47c4860-f433-11ea-b122-dbc70084c260-81414c40-9ba2-11ea-934a-93e' for key 'app__companies_users.app__companies_users_company_id,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8353,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`queroleiloar`.`peca__vigia`, CONSTRAINT `peca__vigia_peca_id_foreign` FOREIGN",Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8352,"","",No,LINK PARA CADASTRO DO CLIENTE,Quero Leiloar,"",0.50,Melhoria,Espera
8348,Cesar Vieira,"",No,REMOVER AUTOMATICAMENTE VENDEDORES JOSE CARLOS E MAURICIO,ERP Efiltros,11/12/2020,0.50,Correção,Andamento
8346,"","","",[laravel-production] E_NOTICE: unserialize(): Error at offset 0 of 444 bytes,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8337,"","","",[vue-production] TypeError: Cannot set property 'scrollTop' of undefined,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
8335,Cesar Vieira,"",No,FINANCEIRO: Lançamentos,Controle Empresarial,11/12/2020,4.00,Melhoria,Andamento
8332,"","","",[laravel-production] Illuminate\Contracts\Filesystem\FileNotFoundException: production/bertoncinicondo/peca/18221-oculos-de-sol-ray-ban-modelo-wayfarer-do/wSkk32Yx1jdslqBQRxvXNLq1OAGHozcYhDYYvU6L.jpeg,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8318,"","",,"Status ""Cancelado"" não aparece no Recibo Comitente",Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8317,"","","",[laravel-production] shutdown: Trying to get property 'script' of non-object,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8316,"","","",[laravel-production] BadMethodCallException: Call to undefined method App\Models\Venda\Followup::cotacao.status_tipo(),ERP Efiltros,06/11/2020,0.50,Bug,Planejado
8312,"","","",[laravel-production] shutdown: Allowed memory size of 134217728 bytes exhausted (tried to allocate 4096 bytes),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8311,"","","",[laravel-production] Symfony\Component\ErrorHandler\Error\FatalError: Allowed memory size of 134217728 bytes exhausted (tried to allocate 4096 bytes),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8310,"","","",[vue-production] ChunkLoadError: Loading chunk 14 failed. (error: https://maiarosa.com.br/assets/painel/js/14.2ef3866de9abd490f1b3.js),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8305,"","",,ERRO NA PÁGINA,Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8303,Cesar Vieira,"",No,PREVISTO X REALIZADO,ERP Efiltros,11/12/2020,0.50,Correção,Andamento
